date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:52:44	123/123	---M-Z	200	added ('OK')	text/plain	date:Sun,%2025%20Dec%202016%2013:50:46%20GMT	http://livefb.kharidz.me/robots.txt		(from )
22:52:44	12657/12657	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2013:50:46%20GMT	http://livefb.kharidz.me/	C:/My%20Web%20Sites/Live/livefb.kharidz.me/index.html	(from )
22:52:45	23739/23739	---MCZ	200	added ('OK')	text/css	etag:W/%2204425bbdc6243fc6e54bf8984fe50330%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	C:/My%20Web%20Sites/Live/maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	(from http://livefb.kharidz.me/)
22:52:45	117305/117305	---MCZ	200	added ('OK')	text/css	etag:W/%22eedf9ee80c2faa4e1b9ab9017cdfcb88%22	http://maxcdn.bootstrapcdn.com/bootstrap/3.3.4/css/bootstrap.min.css	C:/My%20Web%20Sites/Live/maxcdn.bootstrapcdn.com/bootstrap/3.3.4/css/bootstrap.min.css	(from http://livefb.kharidz.me/)
22:52:46	5739/5739	---MCZ	200	added ('OK')	text/css	etag:W/%225527d836-166b%22	https://botex-viet.com/assets/plugins/toastr/toastr.min.css	C:/My%20Web%20Sites/Live/botex-viet.com/assets/plugins/toastr/toastr.min.css	(from http://livefb.kharidz.me/)
22:52:46	39111/39111	---MC-	200	added ('OK')	text/css	date:Tue,%2020%20Dec%202016%2004:38:35%20GMT	https://www.blogger.com/static/v1/widgets/178992763-css_bundle_v2.css	C:/My%20Web%20Sites/Live/www.blogger.com/static/v1/widgets/178992763-css_bundle_v2.css	(from http://livefb.kharidz.me/)
22:52:48	188510/188510	---M-Z	200	added ('OK')	application/x-javascript	etag:%221c80c346f8fac44821179a62f2de4c18%22	http://connect.facebook.net/en_US/sdk.js	C:/My%20Web%20Sites/Live/connect.facebook.net/en_US/sdk.js	(from http://livefb.kharidz.me/)
22:52:49	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20Dec%202016%2015:52:48%20GMT	http://kharidz.systems/images/logo.png	C:/My%20Web%20Sites/Live/kharidz.systems/images/logo.5.delayed	(from http://livefb.kharidz.me/)
22:52:50	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20Dec%202016%2015:52:50%20GMT	http://kharidz.systems/js/bootstrap.min.js	C:/My%20Web%20Sites/Live/kharidz.systems/js/bootstrap.min.9.delayed	(from http://livefb.kharidz.me/)
22:52:51	84345/84345	---MCZ	200	added ('OK')	application/javascript	etag:W/%22553fb284-14979%22	http://code.jquery.com/jquery-2.1.4.min.js	C:/My%20Web%20Sites/Live/code.jquery.com/jquery-2.1.4.min.js	(from http://livefb.kharidz.me/)
22:52:51	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20Dec%202016%2015:52:50%20GMT	http://kharidz.systems/js/custom.js	C:/My%20Web%20Sites/Live/kharidz.systems/js/custom.js	(from http://livefb.kharidz.me/)
22:52:52	107/107	---M-Z	200	added ('OK')	application/atom+xml	etag:W/%22120bcb9c-0543-45b2-b435-dd1cb77598d6%22	http://livefb.kharidz.me/sitemap.xml	C:/My%20Web%20Sites/Live/livefb.kharidz.me/sitemap.xml	(from http://livefb.kharidz.me/)
